cliente_id,Recencia,Frequencia,Monetario
1000,11.0,7,500.67
1001,13.0,8,700.5699999999999
1002,18.0,6,246.12
1003,14.0,3,619.02
1004,16.0,6,454.61
1005,45.0,5,638.52
1006,8.0,5,520.8700000000001
1007,44.0,2,883.8
1008,3.0,8,645.74
1009,4.0,5,478.81
1010,20.0,10,1015.26
1011,20.0,9,458.77
1012,8.0,4,337.44
1013,9.0,11,825.4000000000001
1014,9.0,4,116.65
1015,5.0,4,471.21
1016,11.0,9,1480.13
1017,36.0,4,244.90000000000003
1018,31.0,5,864.96
1019,28.0,2,167.01999999999998
1020,6.0,8,1168.79
1021,41.0,6,1374.85
1022,30.0,5,399.8
1023,48.0,3,163.7
1024,14.0,7,970.88
1025,30.0,4,518.33
1026,28.0,4,503.01
1027,36.0,2,123.49
1028,28.0,5,357.02
1029,8.0,4,79.15
1030,5.0,4,153.95
1031,7.0,6,569.4
1032,3.0,8,178.41
1033,5.0,5,566.37
1034,5.0,8,889.8900000000001
1035,19.0,5,831.83
1036,8.0,4,139.4
1037,7.0,8,1163.55
1038,15.0,9,1291.69
1039,20.0,4,335.05
1040,5.0,6,758.54
1041,10.0,5,845.41
1042,19.0,8,352.83
1043,15.0,6,553.5699999999999
1044,44.0,2,393.99
1045,9.0,4,181.25
1046,19.0,6,926.08
1047,13.0,7,732.44
1048,5.0,9,794.05
1049,13.0,5,1169.69
1050,6.0,5,884.76
1051,15.0,7,879.71
1052,5.0,2,69.17999999999999
1053,8.0,11,1331.74
1054,5.0,6,519.19
1055,30.0,5,907.38
1056,8.0,11,679.03
1057,5.0,3,410.99
1059,20.0,5,523.74
1060,36.0,7,688.04
1061,20.0,7,690.63
1062,19.0,7,596.61
1063,6.0,9,975.31
1064,50.0,4,435.83
1065,41.0,7,367.82
1066,5.0,6,504.3
1067,5.0,3,723.0
1068,34.0,3,399.75
1069,8.0,8,867.72
1070,20.0,6,1047.52
1071,23.0,3,85.97
1072,16.0,7,464.19
1073,8.0,10,1295.19
1074,13.0,7,947.31
1075,3.0,5,454.07
1076,3.0,9,1234.87
1077,28.0,7,322.64
1078,5.0,5,454.74
1079,30.0,6,741.62
1080,6.0,2,54.06
1081,13.0,6,946.67
1082,4.0,9,607.22
1083,12.0,2,62.24
1085,9.0,7,1338.34
1086,14.0,4,641.1700000000001
1087,23.0,8,220.85
1088,9.0,5,86.93
1089,8.0,4,326.36
1090,21.0,5,1361.1
1091,8.0,3,65.58
1092,34.0,6,217.46
1094,38.0,6,715.9000000000001
1095,10.0,5,904.61
1096,4.0,5,714.09
1097,7.0,5,865.0899999999999
1098,20.0,4,203.55
1099,24.0,5,708.0600000000001
1100,19.0,6,943.71
1101,10.0,8,231.53
1102,18.0,3,29.93
1103,4.0,7,858.05
1104,9.0,7,199.72
1105,13.0,8,650.1899999999999
1106,27.0,4,24.51
1107,29.0,8,1231.69
1108,50.0,5,518.3100000000001
1109,6.0,1,14.15
1110,17.0,6,194.11
1111,11.0,5,657.31
1112,17.0,8,950.03
1113,3.0,2,64.78
